Волгоградская обл;г Волгоград;48.677442,44.436514;ЖК "Новый Свет";ООО Синара-Девелопмент;6685040700;г. Волгоград, ул. Тимирязева, 12, квартал 06_09_003;д. 12;34:24:06001:302;Смородская;4582;1;;;Filatova
Волгоградская обл;г Волгоград;48.685648,44.487013;ЖК "Д.маяковского";ООО СК Пересвет-ЮГ;3443931195;г.Волгоград ул. Лавочкина, д7;д.7;34:34:050064:50;Гурьева КА;1700;1;;;Filatova
Волгоградская обл;г Волгоград;48.685648,44.487013;Дом Маяковского;ООО СК Пересвет-ЮГ;3443931195;г Волгоград ул Лавочкина , д 7;д.7;34:34:050064:50;Гурьева КА;1701;1;;;Filatova
Волгоградская обл;г Волгоград;48.685682,44.430942;ЖК "Ново-комарово";ООО Пересвет-Регион-Дон;6164240637;кв 06_09_064 Советскогго района г. Волгограда. д. 1;д. 1;34:34:06000:1304;Евстратова К.Н.;3995;1;;;Filatova
Волгоградская обл;г Волгоград;48.731265,44.539894;ЖК "Артхаус многоэтажный жилой дом по пр. в.и. ленина, 59р в центральном районе г. волгограда";ООО Новый дом;3460007949;г. Волгоград. Центральный район, пр-кт им. В.И. ленина, 59р;д. 59Р;34:34:04000:18;Гурьева КА;1733;1;;;Filatova
Волгоградская обл;г Волгоград;48.746071,44.504225;ЖК "Ежевика";ООО Основные фонды;7718519780;Волгоград, Дзержинский район, б-р 30-летия Победы, д. 42;д. 42;34:34:00:030077:0041;Евстратова К.Н.;5657;1;;;Filatova
Волгоградская обл;г Волгоград;48.747676,44.544614;ЖК "Олежкина слобода д 8";ООО Прозелит-строй;3442062898;г Волгоград, ул 2-ая Горная ,12(ж д 8);д.8;34:34:020000:0002;Гурьева КА;1689;1;;;Filatova
Волгоградская обл;г Волжский;48.750895,44.796821;Волгоградская область, г. волжский проспект ленина, 324 В дом 1;ООО АхтубаСитиПарк;3435301880;Волгоградская область, г. волжский проспект ленина, 324 В дом 1;д.1;34:28:070006:286;Гурьева КА;1677;1;;;Filatova
Волгоградская обл;г Волжский;48.750895,44.796821;Волгоградская область, г. волжский проспект ленина, 324 В дом 2;ООО АхтубаСитиПарк;3435301880;Волгоградская область, г. волжский проспект ленина, 324 В дом 2;д.2;34:28:070006:286;Гурьева КА;1678;1;;;Filatova
Волгоградская обл;г Волжский;48.758311,44.791506;Волгогр. Обл, г.Волжский пр-т Ленина 351;ЗАО Флагман;3435025736;Волгогр. Обл, г.Волжский пр-т Ленина 351;д.351;34:35:030210:17;Гурьева КА;1666;1;;;Filatova
Волгоградская обл;г Волжский;48.759291,44.793399;Волгогр. Обл, г.Волжский ул Карбышева д 134;ЗАО Флагман;3435025736;Волгогр. Обл, г.Волжский ул Карбышева д 134;д.134;34:35:030210:17;Гурьева КА;1673;1;;;Filatova
Волгоградская обл;г Волжский;8.757900,44.792354;Волгогр. Обл, г.Волжский пр-т Ленина 353;ЗАО Флагман;3435025736;Волгогр. Обл, г.Волжский пр-т Ленина 353;д.353;34:35:030210:17;Гурьева КА;1667;1;;;Filatova
Вологодская обл;г Вологда;59.1918,39.8317;г. Вологда, ул. Ярославская, муниципальное образование "Город Вологда", Окружное шоссе, 32;ООО МК-Строй;3525121233;г. Вологда, ул. Ярославская, муниципальное образование "Город Вологда", Окружное шоссе, 32;д. 32;35:24:0403003:1654;Сергеева Е.С.;1788;1;;;sukokin
Вологодская обл;г Вологда;59.2148,39.8418;г. Вологда, ул. Республиканская, д. 38;ООО СУ-740;3525279982;г. Вологда, ул. Республиканская, д. 38;д. 38;35:24:0401001:115;Сергеева Е.С.;1807;1;;;sukokin
Вологодская обл;г Вологда;59.2366,39.8496;ЖК "Белозерский";ООО Профит;3525281276;г. Вологда, ул. Белозерское ш., напротив Залиненйная 22;35:24:0402005:3429;Сергеева Е.С.;;1808;1;;;sukokin
Вологодская обл;г Вологда;59.2903,39.6673;Вологодская обл., г. Вологда, с. Молочное, ул. Октябрьская;ООО Малоэтажка 35;3525284887;Вологодская обл., г. Вологда, с. Молочное, ул. Октябрьская;35:24:0601004:56;Сергеева Е.С.;;1809;1;;;sukokin
Воронежская обл;с Новая Усмань;51.611298,39.370911;ЖК "Южный";ООО Легос;3616006140;Воронежская обл., с. Новая Усмань, ул. Полевая 44б (1, 4 и 5 сек);д. 44б;1564:02:41;Сергеева Е.С.;1829;1;;;Romanenko
Воронежская обл;г Воронеж;51.647356,39.185067;ЖК "Высота";ЗАО ФК Аксиома;3666068254;г.Воронеж, ул. Краснознаменная, 57;д. 57;36:34:0404006:307;Сергеева Е.С.;1897;1;;;Romanenko
Воронежская обл;г Воронеж;51.670705,39.244223;г. Воронеж, Спортивная Набережная 19А;ООО ВоронежЕвроСтрой;3665092078;г. Воронеж, Спортивная Набережная 19А;д. 19А;36:34:0301001:104;Сергеева Е.С.;1888;1;;;Romanenko
Воронежская обл;г Воронеж;51.713859,39.200892;ЖК "Олимпийский, 11, поз. 7";ООО Партнер;3666163420;Воронеж, ж/м Олимпийский 11, поз 7;позиция 7;36:34:0602001:10697;Сергеева Е.С.;1902;1;;;Romanenko
